trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.4947103119588073, 'e': 0.9810476695495772}",30,0,-248.04159361368616,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 5}",0
41,False,"{'a': 0.49125943194622157, 'e': 0.9800665778412416}",20,0,-179.18566930007543,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 4}",0
42,False,"{'a': 0.4878326237440942, 'e': 0.9790609845195051}",20,0,-162.7619370267306,"{0: 12, 1: 0, 2: 2, 3: 4, 4: 2}",0
43,False,"{'a': 0.4844297194381377, 'e': 0.9780309147241483}",25,0,-103.58660707370315,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.48105055228536, 'e': 0.9769763942068623}",20,0,-44.021147852888134,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.4776949567058947, 'e': 0.9758974493306055}",35,0,-243.76036998310937,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
46,False,"{'a': 0.47436276827488694, 'e': 0.9747941070689433}",25,0,-88.82485650894611,"{0: 12, 1: 7, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.4710538237144369, 'e': 0.9736663950053749}",20,0,-148.61907361421453,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.467767960885599, 'e': 0.972514341332643}",20,0,-113.18679358801626,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.4645050187804372, 'e': 0.9713379748520296}",25,0,-31.313825403066986,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.46126483751413566, 'e': 0.9701373249726354}",20,0,-42.6318805495922,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.45804725831716375, 'e': 0.9689124217106447}",25,0,-184.27947372259422,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
52,False,"{'a': 0.4548521235274972, 'e': 0.9676632956885756}",20,0,-101.60426736331237,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
