trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.19774382164335766, 'e': 0.6599831458849822}",25,0,-136.03417279892324,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
172,False,"{'a': 0.19636444833088423, 'e': 0.6562185097387998}",20,12,-58.790248349646866,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.19499469691566831, 'e': 0.6524374681640519}",25,3,-21.339116027770732,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
174,False,"{'a': 0.19363450027961657, 'e': 0.648640115686581}",25,12,-12.160445667340571,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.1922837917728216, 'e': 0.6448265472400012}",20,0,-132.0084432196149,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",1
176,False,"{'a': 0.1909425052102963, 'e': 0.6409968581633251}",20,15,2.1338107142020966,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.18961057486873084, 'e': 0.6371511441985802}",20,15,-3.5102046299901852,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.1882879354832719, 'e': 0.6332895014884152}",20,0,-98.17186628428813,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
179,False,"{'a': 0.186974522244325, 'e': 0.6294120265736969}",25,0,-72.76466623334238,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
180,False,"{'a': 0.18567027079437862, 'e': 0.625518816391096}",20,0,-34.226918195913065,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
181,False,"{'a': 0.18437511722485075, 'e': 0.6216099682706644}",35,21,-26.471943744604467,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
182,False,"{'a': 0.1830889980729573, 'e': 0.6176855799334016}",30,15,-0.7695730004017698,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.18181185031860259, 'e': 0.6137457494888116}",20,14,-11.13831674923475,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.1805436113812911, 'e': 0.6097905754324501}",20,0,-40.734304389738135,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
185,False,"{'a': 0.17928421911706108, 'e': 0.6058201566434628}",20,0,-60.854305643405766,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
186,False,"{'a': 0.17803361181543964, 'e': 0.6018345923821126}",20,11,-37.681214780834765,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
187,False,"{'a': 0.17679172819641875, 'e': 0.5978339822872982}",20,7,-87.05595124384494,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
188,False,"{'a': 0.17555850740745266, 'e': 0.5938184263740639}",20,0,4.290423668888463,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
189,False,"{'a': 0.1743338890204759, 'e': 0.5897880250310982}",25,0,-19.416610521448128,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
190,False,"{'a': 0.17311781302894252, 'e': 0.5857428790182249}",30,12,1.8428492646540948,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
191,False,"{'a': 0.17191021984488558, 'e': 0.5816830894638835}",25,0,-60.01767609405174,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
192,False,"{'a': 0.17071105029599748, 'e': 0.5776087578626015}",25,0,-88.18136841271408,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
193,False,"{'a': 0.16952024562273038, 'e': 0.5735199860724567}",20,6,13.961632087548416,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.16833774747541702, 'e': 0.5694168763125309}",25,17,-39.892236164193115,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.16716349791141158, 'e': 0.5652995311603544}",25,12,-15.109205742014332,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
196,False,"{'a': 0.1659974393922505, 'e': 0.5611680535493414}",20,0,-21.283419628534833,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
197,False,"{'a': 0.164839514780833, 'e': 0.5570225467662173}",20,13,12.92768817017967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.16368966733862148, 'e': 0.5528631144484356}",25,20,10.378931543823882,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.16254784072286116, 'e': 0.5486898605815875}",20,6,-29.13286987895897,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
200,False,"{'a': 0.16141397898381943, 'e': 0.5445028894968026}",20,0,-11.871593700923425,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
201,False,"{'a': 0.1602880265620442, 'e': 0.5403023058681397}",25,0,-28.257707219725333,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
202,False,"{'a': 0.15916992828564153, 'e': 0.5360882147099707}",20,0,-16.738371982665925,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
203,False,"{'a': 0.15805962936757217, 'e': 0.5318607213743555}",25,7,-70.73230785114035,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
204,False,"{'a': 0.15695707540296697, 'e': 0.5276199315484067}",25,0,-72.81801440822963,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
205,False,"{'a': 0.15586221236646106, 'e': 0.5233659512516495}",30,3,0.9380845336920027,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
206,False,"{'a': 0.15477498660954658, 'e': 0.5190988868333698}",20,14,-30.71302150097743,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.15369534485794392, 'e': 0.5148188449699553}",20,13,-5.663267976059138,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.1526232342089912, 'e': 0.5105259326622302}",25,16,-9.459338990267463,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
209,False,"{'a': 0.15155860212905217, 'e': 0.5062202572327784}",25,12,-19.54565001432701,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
210,False,"{'a': 0.15050139645094185, 'e': 0.5019019263232615}",20,3,-29.092128956233402,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
211,False,"{'a': 0.1494515653713705, 'e': 0.49757104789172696}",25,17,-39.92312451359229,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
212,False,"{'a': 0.14840905744840516, 'e': 0.4932277302099105}",20,0,-7.35388466670286,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
213,False,"{'a': 0.14737382159894902, 'e': 0.4888720818605275}",25,13,-17.512180496868044,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
214,False,"{'a': 0.14634580709623832, 'e': 0.48450421173456026}",20,12,6.394471486261007,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.14532496356735675, 'e': 0.4801242290285341}",30,14,14.296255504547018,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.1443112409907671, 'e': 0.4757322432417888}",25,11,-16.04674637114587,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
217,False,"{'a': 0.14330458969386037, 'e': 0.47132836417373997}",20,10,5.823525680077242,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.14230496035052148, 'e': 0.4669127019211353}",20,11,-13.817273939289382,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
219,False,"{'a': 0.14131230397871275, 'e': 0.4624853668753008}",20,9,-5.893296528246961,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
220,False,"{'a': 0.14032657193807319, 'e': 0.45804646971938234}",20,7,-19.313944918295693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
221,False,"{'a': 0.13934771592753567, 'e': 0.4535961214255773}",30,1,-80.39193583299189,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 2}",1
222,False,"{'a': 0.13837568798295982, 'e': 0.4491344332523616}",20,3,-70.05086557074196,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 2}",1
223,False,"{'a': 0.13741044047478182, 'e': 0.4446615167417068}",20,14,-13.02618296768918,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
224,False,"{'a': 0.1364519261056807, 'e': 0.440177483716293}",30,20,-3.6646584075511432,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.1355000979082605, 'e': 0.4356824462767121}",25,3,-22.295930351796635,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.13455490924274924, 'e': 0.4311765167986662}",20,10,-14.90633345436922,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
227,False,"{'a': 0.13361631379471303, 'e': 0.42665980793015723}",20,0,-23.227041779526303,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
228,False,"{'a': 0.13268426557278726, 'e': 0.42213243258867206}",25,0,-41.378541994948336,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
229,False,"{'a': 0.13175871890642246, 'e': 0.41759450395835795}",30,9,9.244363241883317,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.1308396284436469, 'e': 0.4130461354871949}",20,12,4.883607839105359,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.12992694914884392, 'e': 0.40848744088415717}",20,0,-31.540384795907524,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
232,False,"{'a': 0.12902063630054553, 'e': 0.40391853411637296}",25,7,6.138607252141657,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
233,False,"{'a': 0.1281206454892407, 'e': 0.3993395294062732}",20,15,9.376033427644087,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.12722693261519977, 'e': 0.39475054122873704}",25,0,-36.73636376527409,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
235,False,"{'a': 0.12633945388631299, 'e': 0.3901516843082303}",20,9,-28.99057698334464,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
236,False,"{'a': 0.12545816581594513, 'e': 0.385543073615936}",20,11,14.863867336265834,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.12458302522080433, 'e': 0.38092482436688185}",25,0,-32.92225153742679,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
238,False,"{'a': 0.12371398921882641, 'e': 0.37629705201705815}",20,8,-3.2098169216888235,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.12285101522707335, 'e': 0.371659872260533}",25,4,-8.261235688966877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
240,False,"{'a': 0.12199406095964688, 'e': 0.3670134010265584}",20,8,14.216132207901726,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.12114308442561648, 'e': 0.3623577544766736}",25,11,19.846199631416905,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.12029804392696167, 'e': 0.3576930490017995}",25,16,-3.683934231944413,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.11945889805652897, 'e': 0.3530194012193304}",25,17,-28.023488489678083,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.11862560569600279, 'e': 0.348336927970217}",20,16,8.248409172229248,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.1177981260138908, 'e': 0.34364574631604705}",25,7,-1.043926798391483,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
246,False,"{'a': 0.11697641846352291, 'e': 0.3389459735361172}",25,17,1.9016168134958011,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.11616044278106484, 'e': 0.3342377271245026}",25,6,18.689784170350407,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.11535015898354485, 'e': 0.32952112478711787}",25,18,12.324902222552804,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.11454552736689472, 'e': 0.32479628443877623}",25,18,11.401673272774207,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.11374650850400427, 'e': 0.32006332420023986}",30,14,-46.68451590190614,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
251,False,"{'a': 0.11295306324278935, 'e': 0.3153223623952687}",20,14,10.324170973192588,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.11216515270427334, 'e': 0.3105735175476604}",25,11,-39.63127022503974,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
253,False,"{'a': 0.11138273828068229, 'e': 0.30581690837828934}",20,0,-50.850865403812904,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
254,False,"{'a': 0.11060578163355285, 'e': 0.3010526538021365}",30,17,11.513894231875444,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.10983424469185388, 'e': 0.29628087292531874}",20,7,-41.459678229692734,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
256,False,"{'a': 0.10906808965012081, 'e': 0.2915016850421088}",20,16,7.661378131201275,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.10830727896660337, 'e': 0.2867152096319555}",30,4,3.0980217898483415,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1
258,False,"{'a': 0.10755177536142582, 'e': 0.2819215663564944}",20,9,-1.2807222035490091,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
259,False,"{'a': 0.1068015418147603, 'e': 0.2771208750565576}",20,12,-0.15730831346833907,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.10605654156501297, 'e': 0.272313255749178}",20,9,-5.51663711841387,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.1053167381070225, 'e': 0.26749882862458735}",30,12,16.65202870310443,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.10458209519027144, 'e': 0.26267771404321355}",25,15,15.612386080582151,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.10385257681710985, 'e': 0.2578500325326696}",20,16,7.0102346270189,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.10312814724099152, 'e': 0.25301590478474223}",20,12,-24.773290117615495,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
265,False,"{'a': 0.10240877096472224, 'e': 0.2481754516523729}",30,16,-28.948406808836236,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
266,False,"{'a': 0.10169441273872058, 'e': 0.24332879414663827}",30,11,-46.44898995223952,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
267,False,"{'a': 0.10098503755929047, 'e': 0.23847605343372313}",20,2,11.292859870277491,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.10028061066690626, 'e': 0.233617350831893}",30,13,6.814648851033559,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
269,False,"{'a': 0.09958109754450922, 'e': 0.22875280780845939}",20,10,19.44875548307637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.09888646391581642, 'e': 0.22388254597674498}",25,2,-14.401887650991139,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
271,False,"{'a': 0.09819667574364105, 'e': 0.2190066870930415}",25,11,9.831663575845607,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.09751169922822468, 'e': 0.21412535305356747}",30,22,1.5413373419112757,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.09683150080558098, 'e': 0.20923866589141926}",25,18,7.188219965502958,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.09615604714585116, 'e': 0.20434674777352183}",20,13,0.6915413477906502,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.09548530515167074, 'e': 0.19944972099757285}",25,18,12.52092438295842,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.09481924195654778, 'e': 0.19454770798898718}",35,12,22.79062321396938,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.09415782492325252, 'e': 0.18964083129783424}",20,0,4.235724556592072,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
278,False,"{'a': 0.09350102164221791, 'e': 0.1847292135957762}",25,19,-2.4478106432394284,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.0928487999299518, 'e': 0.17981297767299936}",20,4,25.734264843763704,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.09220112782745978, 'e': 0.17489224643514614}",25,19,11.276439355009133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.09155797359867926, 'e': 0.16996714290024081}",20,7,12.187326674662838,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.0909193057289243, 'e': 0.16503779019561562}",25,17,16.310580034254205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.09028509292334155, 'e': 0.16010431155483126}",20,2,5.103495700168678,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
284,False,"{'a': 0.08965530410537662, 'e': 0.15516683031459658}",25,7,28.296125064905077,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.0890299084152514, 'e': 0.15022546991168584}",25,13,26.154843585306413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.08840887520845196, 'e': 0.14528035387985133}",20,0,-13.738475183369243,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
287,False,"{'a': 0.0877921740542269, 'e': 0.14033160584673673}",30,14,31.01714315527285,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.0871797747340963, 'e': 0.13537934953078465}",25,19,11.760789613061487,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.08657164724037089, 'e': 0.13042370873814554}",30,21,14.88469382769334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.08596776177468185, 'e': 0.12546480735958065}",20,9,21.162662949937687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.08536808874652048, 'e': 0.12050276936736662}",30,6,23.40038565066937,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.08477259877178851, 'e': 0.11553771881219435}",20,12,-1.9266783584723217,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.08418126267135792, 'e': 0.11056977982006959}",30,13,29.199888840694094,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.08359405146964152, 'e': 0.10559907658920793}",20,6,-11.222253279396497,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
295,False,"{'a': 0.08301093639317299, 'e': 0.10062573338693173}",30,24,11.427226635407287,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.08243188886919682, 'e': 0.09564987454656154}",25,14,23.385583365477178,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.0818568805242685, 'e': 0.09067162446430968}",25,10,25.86268600386611,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.08128588318286409, 'e': 0.08569110759616845}",20,5,23.927710767662322,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.08071886886599966, 'e': 0.08070844845480063}",20,16,6.966719797641757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.08015580978986017, 'e': 0.07572377160642477}",20,0,6.9809884200795915,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
301,False,"{'a': 0.07959667836443825, 'e': 0.0707372016677029}",35,22,26.669827559298266,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.07904144719218216, 'e': 0.06574886330262336}",20,12,-12.54595743703976,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.07849008906665343, 'e': 0.0607588812193859}",30,20,20.623676275467744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.07794257697119353, 'e': 0.05576738016728224}",20,10,20.10361675795195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.07739888407760025, 'e': 0.05077448493357918}",20,7,26.65539004512959,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.07685898374481301, 'e': 0.04578032034039706}",30,17,19.719465373877412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.07632284951760754, 'e': 0.040785011241591035}",30,19,19.672769173277775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.07579045512529935, 'e': 0.03578868251962797}",20,3,-12.179239778575367,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
309,False,"{'a': 0.07526177448045673, 'e': 0.03079145908246612}",20,5,24.985377986714006,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.07473678167762231, 'e': 0.025793465860430936}",30,18,23.781875880728116,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.07421545099204373, 'e': 0.020794827803092428}",30,12,31.5597122663344,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.07369775687841301, 'e': 0.01579566987614213}",25,4,34.74328927390912,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.07318367396961507, 'e': 0.010796117058267392}",30,20,22.34850131176785,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.07267317707548453, 'e': 0.005796294338028719}",30,12,32.40314621985156,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.07216624118157138, 'e': 0.0007963267107332633}",20,10,19.870964050138998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,3,32.60452959607136,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,25.190532035795883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,23.22577144380979,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,4,26.843019591136763,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,16.122571910173242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,24.12748831119587,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,4,46.14764917709801,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,20.773366325701883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,9.700396712640138,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,12.177958257157314,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
